QUESTION,ANSWER
"Количество помещений на которое можно оформить услугу ""Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье""?","Мера социальной поддержки предоставляется многодетной семье на одно жилое помещение, находящееся в собственности, по выбору многодетной семьи.
В случае наличия в собственности нескольких жилых помещений дополнительная мера социальной поддержки предоставляется в отношении одного жилого помещения по выбору семьи: - если заявитель выбрал жилое помещение, в котором он зарегистрирован по месту жительства - заявление адресуется в ОСЗН по месту жительства заявителя; - если заявитель выбрал жилое помещение, в котором он зарегистрирован по месту пребывания - заявление адресуется в ОСЗН по месту пребывания заявителя; - если заявитель выбрал жилое помещение, в котором он не имеет регистрации по месту жительства/пребывания - заявление адресуется в ОСЗН по месту жительства заявителя."
"Кому не предоставляется услуга ""Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье""?","Мера дополнительной социальной поддержки не предоставляется многодетным семьям при наличии у них подтвержденной вступившим в законную силу судебным актом непогашенной задолженности по уплате взноса на капитальный ремонт общего имущества в многоквартирном доме, которая образовалась за период не более чем три последних года.
Мера социальной поддержки назначается и выплачивается гражданам, имеющим место пребывания в Санкт-Петербурга, в случае если аналогичная мера не выплачивается на территории другого субъекта РФ, в котором заявитель зарегистрирован по месту жительства."
"Какие документы удостоверяют личность по услуге ""Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье""?","Документы, удостоверяющие личность заявителя и лиц, совместно проживающих с ним:
- паспорт гражданина РФ;
- временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта."
"Какие документы предоставить при обращении представителя по услуге ""Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье""?","Документы, удостоверяющие личность представителя:
- паспорт гражданина РФ;
- временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта (не должно быть просрочено);
- паспорт иностранного гражданина;
- вид на жительство;
- удостоверение беженца.   Документ, оформленный в соответствии с действующим законодательством и подтверждающий наличие у представителя прав действовать от лица заявителя и определяющий условия и границы права представителя на получение государственной услуги:
- доверенность, удостоверенная нотариально либо удостоверенная в порядке, предусмотренном пунктом 2 статьи 185.1 Гражданского кодекса РФ. 
- доверенность, оформленная в простой письменной форме."
"Какие заявления брать у заявителя по услуге ""Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье""?",Заявление о предоставлении денежной выплаты на оплату части взноса на капитальный ремонт.
"Какие дополнительно документы должен предоставить заявитель по услуге ""Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье""?"," 1. Документы, содержащие сведения о регистрации законных представителей и детей по месту жительства / по месту пребывания в Санкт-Петербурге:
- решение суда об установлении места жительства или места пребывания в Санкт-Петербурге (при наличии). 2.Документы, подтверждающие наличие в семье детей:
- документы об установлении над ребенком опеки или попечительства (в отношении детей, находящихся под опекой или попечительством, переданных на воспитание в применую семью), выданные за пределами Россйиской Федерации;
- свидетельство об усыновлении (в случае усыновления ребенка в возрасте до шести месяцев);
- свидетельство о рождении, выданное компетентными органами иностранного государства и его нотариально удостоверенный перевод на русский язык;
- документ, подтверждающий факт рождения и регистрации ребенка, выданный и удостоверенный штампом ""апостиль"" компетентным органом иностранного государства, с удостоверенным в установленном законодательством РФ порядке переводом на русский язык (при рождении ребенка на территории иностранного государства, являющегося участником Конвенции, отменяющей требование легализации иностранных официальных документов, заключенной в Гааге 05.10.1961 (далее-Конвенция));
-  документ, подтверждающий факт рождения и регистрации ребенка, выданный компетентным органом иностранного государства, переведенный на русский язык и легализованный консульским учреждением РФ за пределами территории РФ (при рождении ребенка на территории иностранного государства, не являющегося участником Конвенции);
- свидетельство о рождении ребенка, выданное консульским учреждением РФ за пределами территории РФ (при рождении ребенка на территории иностранного государства в случаях,когда регистрация рождения ребенка произведена компетентным органом иностранного государства);
- документ, подтверждающий факт рождения и регистрации ребенка, выданный компетентным органом иностранного государства, являющегося участником Конвенции о правовой помощи и правовых отношениях по гражданским, семейным и уголовным делам, заключенной в городе Минске 22.01.1993;
- свидетельство о смерти ребенка (в случае смерти предыдущего ребенка), выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык. 3.Свидетельство об установлении отцовства, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык. 4.Свидетельство о заключении (расторжении) брака, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык. 5.Документы, подтверждающие право собственности на жилое помещение (в случае если права на недвижимое имущество не зарегистрированы в Едином государственном реестре недвижимости).  6. Решение суда о признании лиц, проживающих совместно с собственником жилого помещения по месту жительства, членами его семьи (в случае наличия разногласий между собственником жилого помещения и проживающими совместно с ним по месту жительства лицами по вопросу принадлежности к одной семье). 7. Согласие на обработку персональных данных лица, не являющегося заявителем (в случае если собственником жилого помещения является супруг (супруга) заявителя)."
"Основания для отказа в приёме документов по услуге ""Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье""?"," непредставление заявителем (представителем) документа, удостоверяющего личность или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
- непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя;
- непредставление заявителем (представителем) согласия на обработку персональных данных лица, не являющегося заявителем (представителем), в случае если для предоставления государственной услуги необходима обработка персональных данных лица, не являющегося заявителем (представителем)."
"Какие основания для отказа в предоставлении услуги ""Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье""?","отсутствие у гражданина права на дополнительную меру социальной поддержки;представление гражданином неполных и (или) недостоверных сведений и документов, необходимых для определения права на предоставление дополнительной меры социальной поддержки, обязанность представления которых возложена на заявителя;
наличие подтвержденной вступившим в законную силу судебным актом непогашенной задолженности по уплате взноса на капитальный ремонт общего имущества в многоквартирном доме, которая образовалась за период не более чем три последних года.F30"
"Результат  предоставления услуги ""Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье""?","1. Принятие решения администрацией района о предоставлении, об отказе в предоставлении денежной выплаты.
2. Информирование администрацией района заявителя о принятом решении о предоставлении, об отказе в предоставлении денежной выплаты."
"Срок предоставления услуги ""Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье""?","не более 25 рабочих дней с момента подачи заявления со всеми необходимыми для предоставления государственной услуги документами. Решение о предоставлении или об отказе в предоставлении денежной выплаты принимается администрацией района в течение 10 рабочих дней со дня подачи заявления и документов в администрацию района. В случае обнаружения обстоятельств или документов, опровергающих достоверность сведений, представленных в подтверждение права на получение государственной услуги, или необходимости проведения проверки срок принятия решения о предоставлении (отказе в предоставлении) государственной услуги продлевается на 10 рабочих дней."
"Обстоятельства, влекущие изменение размера денежной выплаты по услуге ""Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье""?",изменение состава семьи; изменение общей площади жилого помещения; изменение доли в праве собственности на жилое помещение.
"Обстоятельства, влекущие утрату права на предоставление денежной выплаты (прекращение денежной выплаты) по услуге
 ""Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье""?"," утрата семьей отношения к категории ""многодетная семья""; прекращение права собственности на жилое помещение; прекращение обязанности по уплате ежемесячных взносов на капитальный ремонт общего имущества в многквартирном доме; смерть или признание гражданина, имеющего право на денежную выплату, умершим или безвестно отсутствующим.
"
"Какие дополнительно документы должен предоставить заявитель по услуге
 ""Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье""?","Документы, содержащие сведения о регистрации законных представителей и детей по месту жительства / по месту пребывания в Санкт-Петербурге:
- решение суда об установлении места жительства или места пребывания в Санкт-Петербурге (при наличии).). Свидетельство о смерти, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский яхзык.  Документы, подтверждающие изменение сведений (при обращении заявителя (представителя) в связи с возникновением обстоятельств, влекущих изменение размера денежной выплаты).Документы, подтверждающие обстоятельства, влекущие прекращение предоставления денежной выплаты.Согласие на обработку персональных данных лица, не являющегося заявителем (в случае если собственником жилого помещения является супруг (супруга) заявителя)."
"Основания для отказа в приеме документов по услуге
 ""Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье""?","непредставление заявителем (представителем) документа, удостоверяющего личность или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя;
непредставление заявителем (представителем) согласия на обработку персональных данных лица, не являющегося заявителем (представителем), в случае если для предоставления государственной услуги необходима обработка персональных данных лица, не являющегося заявителем (представителем).

"
"Основания для отказа в предоставлении услуги ""Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье""?","отсутствие у гражданина права на дополнительную меру социальной поддержки;
- представление гражданином неполных и (или) недостоверных сведений и документов, необходимых для определения права на предоставление дополнительной меры социальной поддержки, обязанность представления которых возложена на заявителя;
- наличие подтвержденной вступившим в законную силу судебным актом непогашенной задолженности по уплате взноса на капитальный ремонт общего имущества в многоквартирном доме, которая образовалась за период не более чем три последних года.
"
"Срок предоставления услуги ""Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье""?","Срок предоставления государственной услуги: 
- не более 7 рабочих дней со дня подачи заявления."
"Результат  предоставления услуги ""Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье""?","1. Принятие решения администрацией района об изменении реквизитов для перечисления денежной выплаты и способа получения денежной выплаты.
2. Информирование администрацией района заявителя о принятом решении об изменении реквизитов счета для перечисления денежной выплаты и способа получения денежной выплаты. 
"
"Основания для отказа в приеме документов по услуге
 ""Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье""?","непредставление заявителем (представителем) документа, удостоверяющего личность или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
- непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя;
- непредставление заявителем (представителем) согласия на обработку персональных данных лица, не являющегося заявителем (представителем), в случае если для предоставления государственной услуги необходима обработка персональных данных лица, не являющегося заявителем (представителем)."
"Основания для отказа в предоставлении государственной услуги ""Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье""?","отсутствие у гражданина права на дополнительную меру социальной поддержки;
- представление гражданином неполных и (или) недостоверных сведений и документов, необходимых для определения права на предоставление дополнительной меры социальной поддержки, обязанность представления которых возложена на заявителя;
- наличие подтвержденной вступившим в законную силу судебным актом непогашенной задолженности по уплате взноса на капитальный ремонт общего имущества в многоквартирном доме, которая образовалась за период не более чем три последних года."
"Какие основания для получения услуги ""Капитальный ремонт, многодетная семья""","Многодетным семьям, имеющим жилое помещение в многоквартирном доме на праве собственности (в случае наличия в собственности нескольких жилых помещений - в одном жилом помещении по выбору), предоставляется право на оплату части взноса на капитальный ремонт общего имущества в многоквартирном доме в пределах регионального стандарта нормативной площади жилого помещения в Санкт-Петербурге"
"Размер части взноса по услуге ""Капитальный ремонт, многодетная семья""","на оплату части взноса на капитальный ремонт 
30 процентов - семьям, имеющим в своем составе трех несовершеннолетних детей;
40 процентов - семьям, имеющим в своем составе от четырех до семи несовершеннолетних детей;
50 процентов - семьям, имеющим в своем составе восемь и более несовершеннолетних детей.
"
"Когда начинает предоставляться выплата по услуге ""Капитальный ремонт, многодетная семья""",Дополнительная мера социальной поддержки предоставляется начиная с месяца подачи заявления и всех необходимых документов.
"Кем явяется заявителем по услуге ""Капитальный ремонт, многодетная семья""","Заявителем является один из законных представителей (родитель, усыновитель, опекун, попечитель) детей из многодетной семьи, имеющей жилое помещение в многоквартирном доме на праве собственности, являющийся гражданином РФ, имеющий место жительства или место пребывания в Санкт-Петербурге, в случае если дети также являются гражданами РФ, имеющими место жительства или место пребывания в Санкт-Петербурге.Мера дополнительной социальной поддержки предоставляется одному из супругов (законному представителю) на семью.
За предоставлением услуги обращается собственник жилого помещения. В случае, если собственником жилого помещения является несовершеннолетний, заявление оформляется от имени одного из законных представителей.
"
"Количество помещений на которое можно оформить услугу ""Капитальный ремонт, многодетная семья""","Мера социальной поддержки предоставляется многодетной семье на одно жилое помещение, находящееся в собственности, по выбору многодетной семьи.
В случае наличия в собственности нескольких жилых помещений дополнительная мера социальной поддержки предоставляется в отношении одного жилого помещения по выбору семьи: - если заявитель выбрал жилое помещение, в котором он зарегистрирован по месту жительства - заявление адресуется в ОСЗН по месту жительства заявителя; - если заявитель выбрал жилое помещение, в котором он зарегистрирован по месту пребывания - заявление адресуется в ОСЗН по месту пребывания заявителя; - если заявитель выбрал жилое помещение, в котором он не имеет регистрации по месту жительства/пребывания - заявление адресуется в ОСЗН по месту жительства заявителя."
"Кому не предоставляется услуга ""Капитальный ремонт, многодетная семья""","Мера дополнительной социальной поддержки не предоставляется многодетным семьям при наличии у них подтвержденной вступившим в законную силу судебным актом непогашенной задолженности по уплате взноса на капитальный ремонт общего имущества в многоквартирном доме, которая образовалась за период не более чем три последних года.
Мера социальной поддержки назначается и выплачивается гражданам, имеющим место пребывания в Санкт-Петербурга, в случае если аналогичная мера не выплачивается на территории другого субъекта РФ, в котором заявитель зарегистрирован по месту жительства."
"Какие документы удостоверяют личность по услуге ""Капитальный ремонт, многодетная семья""","Документы, удостоверяющие личность заявителя и лиц, совместно проживающих с ним:
- паспорт гражданина РФ;
- временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта."
"Какие документы предоставить при обращении представителя по услуге ""Капитальный ремонт, многодетная семья""","Документы, удостоверяющие личность представителя:
- паспорт гражданина РФ;
- временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта (не должно быть просрочено);
- паспорт иностранного гражданина;
- вид на жительство;
- удостоверение беженца.   Документ, оформленный в соответствии с действующим законодательством и подтверждающий наличие у представителя прав действовать от лица заявителя и определяющий условия и границы права представителя на получение государственной услуги:
- доверенность, удостоверенная нотариально либо удостоверенная в порядке, предусмотренном пунктом 2 статьи 185.1 Гражданского кодекса РФ. 
- доверенность, оформленная в простой письменной форме."
"Какие заявления брать у заявителя по услуге ""Капитальный ремонт, многодетная семья""",Заявление о предоставлении денежной выплаты на оплату части взноса на капитальный ремонт.
"Какие дополнительно документы должен предоставить заявитель по услуге ""Капитальный ремонт, многодетная семья"""," 1. Документы, содержащие сведения о регистрации законных представителей и детей по месту жительства / по месту пребывания в Санкт-Петербурге:
- решение суда об установлении места жительства или места пребывания в Санкт-Петербурге (при наличии). 2.Документы, подтверждающие наличие в семье детей:
- документы об установлении над ребенком опеки или попечительства (в отношении детей, находящихся под опекой или попечительством, переданных на воспитание в применую семью), выданные за пределами Россйиской Федерации;
- свидетельство об усыновлении (в случае усыновления ребенка в возрасте до шести месяцев);
- свидетельство о рождении, выданное компетентными органами иностранного государства и его нотариально удостоверенный перевод на русский язык;
- документ, подтверждающий факт рождения и регистрации ребенка, выданный и удостоверенный штампом ""апостиль"" компетентным органом иностранного государства, с удостоверенным в установленном законодательством РФ порядке переводом на русский язык (при рождении ребенка на территории иностранного государства, являющегося участником Конвенции, отменяющей требование легализации иностранных официальных документов, заключенной в Гааге 05.10.1961 (далее-Конвенция));
-  документ, подтверждающий факт рождения и регистрации ребенка, выданный компетентным органом иностранного государства, переведенный на русский язык и легализованный консульским учреждением РФ за пределами территории РФ (при рождении ребенка на территории иностранного государства, не являющегося участником Конвенции);
- свидетельство о рождении ребенка, выданное консульским учреждением РФ за пределами территории РФ (при рождении ребенка на территории иностранного государства в случаях,когда регистрация рождения ребенка произведена компетентным органом иностранного государства);
- документ, подтверждающий факт рождения и регистрации ребенка, выданный компетентным органом иностранного государства, являющегося участником Конвенции о правовой помощи и правовых отношениях по гражданским, семейным и уголовным делам, заключенной в городе Минске 22.01.1993;
- свидетельство о смерти ребенка (в случае смерти предыдущего ребенка), выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык. 3.Свидетельство об установлении отцовства, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык. 4.Свидетельство о заключении (расторжении) брака, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык. 5.Документы, подтверждающие право собственности на жилое помещение (в случае если права на недвижимое имущество не зарегистрированы в Едином государственном реестре недвижимости).  6. Решение суда о признании лиц, проживающих совместно с собственником жилого помещения по месту жительства, членами его семьи (в случае наличия разногласий между собственником жилого помещения и проживающими совместно с ним по месту жительства лицами по вопросу принадлежности к одной семье). 7. Согласие на обработку персональных данных лица, не являющегося заявителем (в случае если собственником жилого помещения является супруг (супруга) заявителя)."
"Основания для отказа в приёме документов по услуге ""Капитальный ремонт, многодетная семья"""," непредставление заявителем (представителем) документа, удостоверяющего личность или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
- непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя;
- непредставление заявителем (представителем) согласия на обработку персональных данных лица, не являющегося заявителем (представителем), в случае если для предоставления государственной услуги необходима обработка персональных данных лица, не являющегося заявителем (представителем)."
"Какие основания для отказа в предоставлении услуги ""Капитальный ремонт, многодетная семья""","отсутствие у гражданина права на дополнительную меру социальной поддержки;представление гражданином неполных и (или) недостоверных сведений и документов, необходимых для определения права на предоставление дополнительной меры социальной поддержки, обязанность представления которых возложена на заявителя;
наличие подтвержденной вступившим в законную силу судебным актом непогашенной задолженности по уплате взноса на капитальный ремонт общего имущества в многоквартирном доме, которая образовалась за период не более чем три последних года.F30"
"Результат  предоставления услуги ""Капитальный ремонт, многодетная семья""","1. Принятие решения администрацией района о предоставлении, об отказе в предоставлении денежной выплаты.
2. Информирование администрацией района заявителя о принятом решении о предоставлении, об отказе в предоставлении денежной выплаты."
"Срок предоставления услуги ""Капитальный ремонт, многодетная семья""","не более 25 рабочих дней с момента подачи заявления со всеми необходимыми для предоставления государственной услуги документами. Решение о предоставлении или об отказе в предоставлении денежной выплаты принимается администрацией района в течение 10 рабочих дней со дня подачи заявления и документов в администрацию района. В случае обнаружения обстоятельств или документов, опровергающих достоверность сведений, представленных в подтверждение права на получение государственной услуги, или необходимости проведения проверки срок принятия решения о предоставлении (отказе в предоставлении) государственной услуги продлевается на 10 рабочих дней."
